node_name,property_name,property_value
46,型号,01A
46,材料,合金钢
46,重量,4g
47,型号,88B
47,材料,合金钢
47,重量,1.5g
48,型号,X12J
48,材料,混合材料
48,重量,150kg
49,型号,JH87
49,材料,混合材料
49,重量,60kg
57,出生日期,1998.11.1
57,年龄,26
57,性别,男
57,员工编号,000001
58,出生日期,1996.9.1
58,年龄,28
58,性别,男
58,员工编号,000012
59,出生日期,1998.1.1
59,年龄,26
59,性别,女
59,员工编号,000007
60,出生日期,1987.6.20
60,年龄,37
60,性别,男
60,员工编号,000021
50,车型,E-Class
50,生产年份,2011
51,车型,3 series
51,生产年份,2008
52,车型,A3
52,生产年份,2010
53,车型,Passat
53,生产年份,2018
54,车型,H9
54,生产年份,2018
55,车型,Model 3
55,生产年份,2011
56,车型,秦 Pro EV
56,生产年份,2020
